time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-17 00:00:00+00:00,242,35,388,129
2025-05-18 00:00:00+00:00,278,43,534,139
2025-05-19 00:00:00+00:00,249,58,762,223
2025-05-20 00:00:00+00:00,564,103,892,266
2025-05-21 00:00:00+00:00,318,90,908,233
2025-05-22 00:00:00+00:00,163,48,839,223
2025-05-23 00:00:00+00:00,291,97,596,179
2025-05-24 00:00:00+00:00,62,28,222,94
2025-05-25 00:00:00+00:00,229,49,282,88
2025-05-26 00:00:00+00:00,334,71,923,258
2025-05-27 00:00:00+00:00,759,81,1107,253
2025-05-28 00:00:00+00:00,337,46,975,228
2025-05-29 00:00:00+00:00,449,83,749,208
2025-05-30 00:00:00+00:00,678,84,778,187
2025-05-31 00:00:00+00:00,61,33,274,99
2025-06-01 00:00:00+00:00,205,38,359,96
2025-06-02 00:00:00+00:00,313,60,915,217
2025-06-03 00:00:00+00:00,806,73,1062,224
2025-06-04 00:00:00+00:00,711,87,1726,286
2025-06-05 00:00:00+00:00,435,58,1293,282
2025-06-06 00:00:00+00:00,602,66,976,224
2025-06-07 00:00:00+00:00,293,30,372,112
2025-06-08 00:00:00+00:00,74,12,273,95
2025-06-09 00:00:00+00:00,84,23,944,218
2025-06-10 00:00:00+00:00,289,50,1046,243
2025-06-11 00:00:00+00:00,1255,91,3174,260
2025-06-12 00:00:00+00:00,286,53,1065,228
2025-06-13 00:00:00+00:00,320,82,1095,207
2025-06-14 00:00:00+00:00,36,20,319,90
2025-06-15 00:00:00+00:00,142,39,296,102
2025-06-16 00:00:00+00:00,565,74,985,281
2025-06-17 00:00:00+00:00,323,66,1275,265
2025-06-18 00:00:00+00:00,351,66,945,229
2025-06-19 00:00:00+00:00,596,62,981,271
2025-06-20 00:00:00+00:00,389,62,841,250
2025-06-21 00:00:00+00:00,345,60,451,184
2025-06-22 00:00:00+00:00,234,36,480,168
2025-06-23 00:00:00+00:00,613,87,1128,308
2025-06-24 00:00:00+00:00,1315,126,1344,279
2025-06-25 00:00:00+00:00,946,95,1172,302
2025-06-26 00:00:00+00:00,966,84,1330,248
2025-06-27 00:00:00+00:00,363,48,1000,240
2025-06-28 00:00:00+00:00,389,67,368,138
2025-06-29 00:00:00+00:00,125,24,559,146
2025-06-30 00:00:00+00:00,497,61,1023,288
2025-07-01 00:00:00+00:00,384,49,796,263
2025-07-02 00:00:00+00:00,549,55,969,282
2025-07-03 00:00:00+00:00,299,52,995,310
2025-07-04 00:00:00+00:00,703,85,799,230
2025-07-05 00:00:00+00:00,113,46,356,138
2025-07-06 00:00:00+00:00,300,39,296,153
2025-07-07 00:00:00+00:00,483,98,967,333
2025-07-08 00:00:00+00:00,399,63,1155,318
2025-07-09 00:00:00+00:00,594,79,1059,295
2025-07-10 00:00:00+00:00,526,82,872,257
2025-07-11 00:00:00+00:00,669,69,874,275
2025-07-12 00:00:00+00:00,107,33,285,158
2025-07-13 00:00:00+00:00,103,25,269,133
